Date,Close
1/1/1999,890.8
1/4/1999,897.8
1/5/1999,907.2
1/6/1999,928.25
1/7/1999,954.7
1/8/1999,990.05
1/11/1999,985.6
1/12/1999,964.45
1/13/1999,961.2
1/14/1999,954.75
1/15/1999,934.3
1/18/1999,944.9
1/19/1999,924.1
1/21/1999,967.2
1/22/1999,957.05
1/25/1999,949.8
1/27/1999,971.3
1/28/1999,955.1
1/29/1999,966.2
2/1/1999,940.15
2/2/1999,931.2
2/3/1999,952.4
2/4/1999,939.7
2/5/1999,936.3
2/8/1999,916.5
2/9/1999,924.75
2/10/1999,959.45
2/11/1999,960.05
2/12/1999,970.25
2/15/1999,954.55
2/16/1999,958.9
2/17/1999,969.05
2/18/1999,973.45
2/19/1999,976.3
2/22/1999,953.85
2/23/1999,949.65
2/24/1999,957.65
2/25/1999,954.3
2/26/1999,941.2
3/1/1999,1015.8
3/3/1999,1051.85
3/4/1999,1041.2
3/5/1999,1054.45
3/8/1999,1072.1
3/9/1999,1078.35
3/10/1999,1078.85
3/11/1999,1059.6
3/12/1999,1072.65
3/15/1999,1073.95
3/16/1999,1053.15
3/17/1999,1060.65
3/18/1999,1074.6
3/19/1999,1062.9
3/22/1999,1063
3/23/1999,1072.95
3/24/1999,1062.8
3/25/1999,1054.9
3/26/1999,1041.25
3/30/1999,1054.6
3/31/1999,1078.05
4/1/1999,1063.45
4/5/1999,1011.4
4/6/1999,1024.2
4/7/1999,1031.05
4/8/1999,1020.35
4/9/1999,993.4
4/12/1999,998.2
4/13/1999,994.25
4/15/1999,968.6
4/16/1999,1044.45
4/19/1999,993.9
4/20/1999,995.4
4/21/1999,996.65
4/22/1999,981.65
4/23/1999,982
4/26/1999,931.35
4/28/1999,943.5
4/29/1999,966.6
4/30/1999,978.2
5/3/1999,970.75
5/4/1999,1008.35
5/5/1999,1019.55
5/6/1999,1046.95
5/7/1999,1062.9
5/10/1999,1094.2
5/11/1999,1116
5/12/1999,1110.9
5/13/1999,1148.1
5/14/1999,1165.35
5/17/1999,1151.9
5/18/1999,1160.15
5/19/1999,1180.25
5/20/1999,1166.9
5/21/1999,1145.85
5/24/1999,1151.6
5/25/1999,1160.2
5/26/1999,1135.5
5/27/1999,1091.45
5/28/1999,1081.5
5/31/1999,1132.3
6/1/1999,1123.8
6/2/1999,1125.15
6/3/1999,1136.65
6/4/1999,1155.05
6/7/1999,1156.65
6/8/1999,1178.95
6/9/1999,1163.2
6/10/1999,1162.6
6/11/1999,1141.9
6/14/1999,1126.9
6/15/1999,1120.5
6/16/1999,1148.15
6/17/1999,1176.35
6/18/1999,1175.15
6/21/1999,1202.3
6/22/1999,1214.3
6/23/1999,1193.15
6/24/1999,1181.3
6/25/1999,1177
6/28/1999,1192.2
6/29/1999,1191.3
6/30/1999,1187.7
7/1/1999,1183.2
7/2/1999,1197.85
7/5/1999,1230.25
7/6/1999,1241.25
7/7/1999,1243.7
7/8/1999,1244.05
7/9/1999,1254
7/12/1999,1315.35
7/13/1999,1321.45
7/14/1999,1335.15
7/15/1999,1317.7
7/16/1999,1324.25
7/19/1999,1349.6
7/20/1999,1314.7
7/21/1999,1340.15
7/22/1999,1349.2
7/23/1999,1342.95
7/26/1999,1326.15
7/27/1999,1309.85
7/28/1999,1320.1
7/29/1999,1325.7
7/30/1999,1310.15
8/2/1999,1289.6
8/3/1999,1285.05
8/4/1999,1326.4
8/5/1999,1323.3
8/6/1999,1316.8
8/9/1999,1327.75
8/10/1999,1309.75
8/11/1999,1315.3
8/12/1999,1309.5
8/13/1999,1291.85
8/16/1999,1309.9
8/17/1999,1322.7
8/18/1999,1363.35
8/19/1999,1345
8/20/1999,1347.3
8/23/1999,1369.7
8/24/1999,1382.65
8/25/1999,1371.65
8/26/1999,1402.5
8/27/1999,1417.5
8/30/1999,1422.6
8/31/1999,1412
9/1/1999,1410.7
9/2/1999,1375.85
9/3/1999,1374.95
9/6/1999,1390.2
9/7/1999,1383.25
9/8/1999,1399.5
9/9/1999,1396.9
9/10/1999,1391.1
9/14/1999,1370.55
9/15/1999,1374.7
9/16/1999,1351.2
9/17/1999,1359.7
9/20/1999,1357.85
9/21/1999,1350.6
9/22/1999,1386.45
9/23/1999,1398
9/24/1999,1412.25
9/27/1999,1389.5
9/28/1999,1379.15
9/29/1999,1415.3
9/30/1999,1413.1
10/1/1999,1403.2
10/4/1999,1372.3
10/5/1999,1378.15
10/6/1999,1392.7
10/7/1999,1469.75
10/8/1999,1479.25
10/11/1999,1484
10/12/1999,1483.85
10/13/1999,1496.3
10/14/1999,1505.2
10/15/1999,1454.55
10/18/1999,1444.05
10/20/1999,1477.65
10/21/1999,1453.35
10/22/1999,1430.25
10/25/1999,1426.2
10/26/1999,1414.35
10/27/1999,1411.4
10/28/1999,1367.7
10/29/1999,1325.45
11/1/1999,1270
11/2/1999,1332.2
11/3/1999,1326.4
11/4/1999,1336.8
11/5/1999,1364.55
11/9/1999,1371.2
11/10/1999,1389.1
11/11/1999,1389.6
11/12/1999,1373.55
11/15/1999,1362.7
11/16/1999,1357.75
11/17/1999,1352.25
11/18/1999,1364.25
11/19/1999,1361.85
11/22/1999,1375.25
11/24/1999,1394.95
11/25/1999,1408.65
11/26/1999,1399.6
11/29/1999,1384.65
11/30/1999,1376.15
12/1/1999,1388.75
12/2/1999,1408.85
12/3/1999,1418
12/6/1999,1442.85
12/7/1999,1445.15
12/8/1999,1438.65
12/9/1999,1447.55
12/10/1999,1439.7
12/13/1999,1427.65
12/14/1999,1398.25
12/15/1999,1401.4
12/16/1999,1419.7
12/17/1999,1419.3
12/20/1999,1422.45
12/21/1999,1421.7
12/22/1999,1481.7
12/23/1999,1488.35
12/24/1999,1459
12/27/1999,1432.1
12/28/1999,1442.2
12/29/1999,1476.35
12/30/1999,1480.45
1/3/2000,1592.2
1/4/2000,1638.7
1/5/2000,1595.8
1/6/2000,1617.6
1/7/2000,1613.3
1/10/2000,1632.95
1/11/2000,1572.5
1/12/2000,1624.8
1/13/2000,1621.4
1/14/2000,1622.75
1/17/2000,1611.6
1/18/2000,1606.7
1/19/2000,1634.85
1/20/2000,1601.1
1/21/2000,1620.6
1/24/2000,1613.6
1/25/2000,1586.4
1/27/2000,1603.9
1/28/2000,1599.1
1/31/2000,1546.2
2/1/2000,1549.5
2/2/2000,1588
2/3/2000,1597.9
2/4/2000,1599.75
2/7/2000,1636.6
2/8/2000,1662.75
2/9/2000,1689.65
2/10/2000,1711.2
2/11/2000,1756
2/14/2000,1744.5
2/15/2000,1702.55
2/16/2000,1711.1
2/17/2000,1742.1
2/18/2000,1717.8
2/21/2000,1753.5
2/22/2000,1739.05
2/23/2000,1696.4
2/24/2000,1732
2/25/2000,1710.45
2/28/2000,1722.55
2/29/2000,1654.8
3/1/2000,1712.7
3/2/2000,1696.55
3/3/2000,1656
3/6/2000,1688.5
3/7/2000,1702.75
3/8/2000,1666.35
3/9/2000,1646.25
3/10/2000,1602.75
3/13/2000,1560.7
3/14/2000,1567.05
3/15/2000,1620.1
3/16/2000,1562.2
3/21/2000,1556.6
3/22/2000,1589.6
3/23/2000,1553.4
3/24/2000,1569.55
3/27/2000,1562.95
3/28/2000,1568.6
3/29/2000,1558.25
3/30/2000,1549.5
3/31/2000,1528.45
4/3/2000,1534.75
4/4/2000,1428.1
4/5/2000,1434.65
4/6/2000,1452.95
4/7/2000,1557.15
4/10/2000,1613
4/11/2000,1624.65
4/12/2000,1592.7
4/13/2000,1518.65
4/17/2000,1443.55
4/18/2000,1414.8
4/19/2000,1404.95
4/20/2000,1415.65
4/24/2000,1388
4/25/2000,1359.45
4/26/2000,1436.1
4/27/2000,1416.9
4/28/2000,1406.55
5/2/2000,1333.45
5/3/2000,1316.05
5/4/2000,1380.55
5/5/2000,1422.4
5/8/2000,1365.05
5/9/2000,1378.55
5/10/2000,1363.15
5/11/2000,1304.55
5/12/2000,1282.8
5/15/2000,1299.25
5/16/2000,1306.85
5/17/2000,1311.65
5/18/2000,1293.4
5/19/2000,1268
5/22/2000,1233
5/23/2000,1224.4
5/24/2000,1235.9
5/25/2000,1247.65
5/26/2000,1275.35
5/29/2000,1311.05
5/30/2000,1344.85
5/31/2000,1380.45
6/1/2000,1349
6/2/2000,1389.25
6/5/2000,1404.6
6/6/2000,1421.75
6/7/2000,1430.35
6/8/2000,1463.65
6/9/2000,1467.2
6/12/2000,1440.4
6/13/2000,1432.9
6/14/2000,1435.5
6/15/2000,1445.25
6/16/2000,1477.3
6/19/2000,1498.75
6/20/2000,1507.1
6/21/2000,1475.15
6/22/2000,1488.25
6/23/2000,1472.2
6/26/2000,1451.65
6/27/2000,1454.3
6/28/2000,1470
6/29/2000,1492.35
6/30/2000,1471.45
7/3/2000,1495.25
7/4/2000,1511.3
7/5/2000,1526.05
7/6/2000,1516.8
7/7/2000,1517.6
7/10/2000,1509.65
7/11/2000,1518.55
7/12/2000,1533.35
7/13/2000,1522.6
7/14/2000,1509.75
7/17/2000,1479.65
7/18/2000,1463.1
7/19/2000,1435.8
7/20/2000,1424.2
7/21/2000,1397.25
7/24/2000,1317.75
7/25/2000,1348.9
7/26/2000,1318.25
7/27/2000,1338.05
